"",name,website_url,original_language,website_text_in_en,Industrie_Label
0,itravel,https://www.itravel.de/,de,itravel telephon advic switzerland arrang callback en experi highlight travel topic destin servic put togeth individu dream trip call us sail trip worldwid cast inspir discov long destin special a...,-1_industri_develop_employe_design
1,kunveno,https://kunveno.de,de,kunveno work happier work happier boost cultur creat high perform team genuin appreci readi new height kunveno posit hub exchang appreci stripe workplac make visibl anchor firm dna corpor cultur s...,1_recruit_hire_employe_career
2,Scopas,https://www.scopas.io/,en,scopaswer work someth new check here,7_advertis_gmbh_brand_openem
3,studymaniac,https://studymaniac.de,de,studymaniac studi success open main menu partner success studi high qualiti cours precis tailor univers studymaniac next exam child play cours creat select expert design give time understand topic...,11_tutor_classroom_learner_student
4,Aicone,http://www.ai-c.one,en,aicon artifici intellig cloud advanc analyt fuel price aicon utilis big data provid advanc analyt us provid advanc analyt smart ai base softwar machin learn capabl servic help transform data decis...,9_data_gdpr_industri_research
5,Givetastic.org,http://www.givetastic.org,en,home givetast org top pagewalletwalletwalletcareersmeet team moreus tab navig menu item empoweryouremploye bring employe social respons organ engag employe last posit impact remot escap partner le...,-1_industri_develop_employe_design
6,MagnoTherm,http://magnotherm-solutions.com/,en,magnotherm next generat cool gwp toxic explos magnotherm build high effici sustain cool system base magnetocalor materi instead climat damag hazard refriger gase use temperatur activ metal combin ...,12_photovolta_solar_pv_industri
7,BOSETEIN,http://www.bosetein.com,en,home bosetein ensur safeti foodour real time bacteri inspect technolog revolution food inspectionwhat dow enabl custom measur qualiti quantifi safeti meat product real time non invas way servic me...,16_planter_farm_plant_growment
8,Statista,https://de.statista.com/,de,statista statist portal statist market data studiesand get full access statist start usd per month popular statist topic top report insight new market insight market forecast kpis market countri t...,5_marketplac_retail_salesforc_market
9,DEMECAN,https://www.demecan.de/en/startseite-english/,en,demecan medizinisch cannabi made germani menu medic cannabi made germani order medic cannabi pharmaci order direct us inform visit shop hire offer great career opportun differ locat germani becom ...,0_medic_medicin_health_healthcar
10,TeraSpinTec,https://teraspintec.com/,en,teraspintec gmbh home spintron terahertz sourc key ultrabroadband terahertz spectroscopi home spintron terahertz emitt spin right let innov spintron terahertz emitterunlock full potenti terahertz ...,-1_industri_develop_employe_design
11,kuendigung.org,http://kuendigung.org/,de,termin org clever termin contract onlin termin contract quick easili without regist searchpopular ekomi starsfrom rate popular termin templatesthes templat use frequentlygener telecommun subscript...,-1_industri_develop_employe_design
12,Cloud Ready Software,https://cloud-ready-software.com/,en,cloud readi softwar gmbh cloud readi softwar com take fast lane cloud product managerw compel busi case think bring ip appsourc need make right choic futur fingertip show way head itmicrosoft apps...,10_cloudplan_cloud_kubernet_servic
13,HQS Quantum Simulations,https://quantumsimulations.de/,en,quantum simul open menu close menu open menu close menu materi develop quantum level hqs provid softwar materi scientist chemic industri well academia sophist quantum level model materi molecular ...,-1_industri_develop_employe_design
14,VSM BW,https://www.verstaumich.de/,de,spacewis place space final book space inexpens garag storag park space area dont miss outfind search rentfind perfect space exact need book book direct via clever system use use space exact want u...,6_hotel_holiday_rental_rent
