,name,state,linkedin_industry,website_url,check_robots
1751,FINVAX,Baden-Württemberg,Finance & Insurance,http://finvax.eu/,False
1752,StaysInStyle,Bayern,Tourism,http://www.mamistravelguide.com,True
1753,act´ble,Baden-Württemberg,Sports & Amusement/Gaming incl. Online,https://www.lindnersophia.com/projects/2017/5/26/a-c-t-b-l-e,False
1754,SalsUp,Bayern,IT and Communications,https://www.salsup.de/en/startseite/,True
1755,Uncap,Bayern,Finance & Insurance,http://unconventional.capital/,True
1756,ITEXIA,Sachsen,IT and Communications,https://itexia.com/,True
1757,SCALUE,Nordrhein-Westfalen,IT and Communications,http://www.scalue.com,True
1758,wevest Digital,Berlin,Finance & Insurance,https://wevest.de,True
1759,Pléta,Nordrhein-Westfalen,Nutrition & Consumables,https://www.pleta.de/,False
1760,FLEX Financial Solutions,Hamburg,Finance & Insurance,http://flexpayment.de/,False
1761,HoloMetrix,Hessen,IT and Communications,https://holo-metrix.com/ar/,True
1762,Jonny Fresh,Berlin,Textiles,https://www.jonnyfresh.com/,True
1763,CyberDirekt,Berlin,Finance & Insurance,http://www.cyberdirekt.de,True
1764,phellow seven,Baden-Württemberg,Life Science & Healthcare,https://phellowseven.com/,True
1765,AI-UI,Thüringen,IT and Communications,https://www.AI-UI.ai,True
1766,Munich Analytics,Bayern,IT and Communications,https://www.munich-analytics.eu/,True
1767,TRUCKHELL,Niedersachsen,IT and Communications,http://www.truckhell.com,True
1768,Laubwerk,Berlin,"Media, Arts & Entertainment",https://www.laubwerk.com/,True
1769,Mind Intelligence,Brandenburg,Life Science & Healthcare,https://www.mindintelligence.io/,True
1770,AHO.BIO,Niedersachsen,Nutrition & Consumables,http://www.aho.bio/,True
1771,Roboception,Bayern,IT and Communications,http://roboception.com,True
1772,Senerality,Baden-Württemberg,,https://www.senerality.com,True
1773,network-riding,Baden-Württemberg,Sports & Amusement/Gaming incl. Online,https://network-riding.de/,False
1774,Conweaver,Hessen,IT and Communications,https://www.conweaver.com/de,False
1775,Kiimkern,Rheinland-Pfalz,IT and Communications,https://kiimkern.com,True
1776,Helpchat,Mecklenburg-Vorpommern,Life Science & Healthcare,https://medventi.care/#Start,True
1777,sloppy.io,Nordrhein-Westfalen,IT and Communications,https://sloppy.io,False
1778,evocenta,Nordrhein-Westfalen,IT and Communications,http://evocenta.com/,True
1779,Genequine Biotherapeutics,Hamburg,Life Science & Healthcare,https://www.genequine.com/en/,False
1780,CFTools Cloud,Bayern,Sports & Amusement/Gaming incl. Online,https://cftools.cloud/,True
1781,Creatisto,Baden-Württemberg,"Media, Arts & Entertainment",http://www.creatisto.com,True
1782,hoponopo,Baden-Württemberg,Sports & Amusement/Gaming incl. Online,https://hoponopo.de/,True
1783,Leef Point,Niedersachsen,Nutrition & Consumables,https://leefpoint.com/,False
1784,Meeter,Baden-Württemberg,IT and Communications,https://www.meeter.de/,False
1785,ZIMPLY NATURAL,Bayern,Chemicals/Pharmaceuticals,https://www.zimplynatural.de/,True
1786,codary,Berlin,Education,https://codary.org/,False
1787,Raumly,Nordrhein-Westfalen,Other,https://www.raumly.com/,True
1788,Computomics,Baden-Württemberg,Life Science & Healthcare,https://computomics.com,True
1789,Gapless,Berlin,Sports & Amusement/Gaming incl. Online,https://www.gapless.app/,True
1790,edusiia,Berlin,Education,https://edusiia.com/,True
1791,Valuedesk,Nordrhein-Westfalen,IT and Communications,https://www.valuedesk.de,False
1792,Bitwala,Berlin,Finance & Insurance,https://bitwala.com,True
1793,gertrud digital,Hamburg,IT and Communications,https://gertrud.digital/,False
1794,bezahl.de,Nordrhein-Westfalen,Finance & Insurance,http://www.bezahl.de,True
1795,1sales,Nordrhein-Westfalen,IT and Communications,https://1sales.io,False
1796,Procuros,Hamburg,IT and Communications,https://procuros.io/,False
1797,wenighair,Nordrhein-Westfalen,Education,http://www.wenighair.de,True
1798,catchys,Bayern,Textiles,https://www.catchys.com/,False
1799,Bringman,Baden-Württemberg,Nutrition & Consumables,https://bringman.de/,False
1800,TeamViewer,Baden-Württemberg,IT and Communications,https://www.teamviewer.com/,True
1801,KONUX,Bayern,"Automotive, Logistics & Mobility",http://konux.com,True
1802,hellobaby,Bayern,Nutrition & Consumables,https://www.hellobaby.store/,True
1803,MINDFUEL,Berlin,Nutrition & Consumables,http://bemindfuel.com/,True
1804,GME german medical engineering,Bayern,Life Science & Healthcare,http://www.gmeonline.de,True
1805,Werkstars,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.werkstars.de,True
1806,Picnic,Nordrhein-Westfalen,IT and Communications,http://picnic.app/,False
1807,Gyding UG (haftungsbeschränkt),Niedersachsen,Other,https://gyding.de,False
1808,Econos Invest,Bayern,Finance & Insurance,http://econos.green/,False
1809,resonanz,Berlin,Energy & Electricity,https://resonanz.io/,False
1810,2iQ Research,Hessen,Finance & Insurance,http://inside-analytics.com/,False
1811,Stocard,Baden-Württemberg,Finance & Insurance,http://www.stocardapp.com,True
1812,Jack 'n Check,Baden-Württemberg,"Automotive, Logistics & Mobility",https://jackncheck.de/,True
1813,NN Publishing,Berlin,Education,https://www.neuenarrative.de/,True
1814,Steuerbot,Baden-Württemberg,Finance & Insurance,https://www.steuerbot.com,True
1815,Smunch,Berlin,Nutrition & Consumables,https://www.smunch.co,True
1816,Frienton | Finance as a Service,Bayern,Finance & Insurance,http://www.frienton.com,True
1817,Somonic Solutions,Baden-Württemberg,Industrial & Basic Materials,http://www.somonic.com/startseite,False
1818,Thrile,Berlin,,https://www.thrile.com,True
1819,Finfio,Bayern,Finance & Insurance,http://www.finfio.de,False
1820,STRAIQR,Nordrhein-Westfalen,IT and Communications,http://straiqr.ai/,True
1821,AMN Data Solutions,Berlin,"Automotive, Logistics & Mobility",http://www.getcaya.com,True
1822,Beans on Fire - brewbar & roastery,Baden-Württemberg,Other,http://www.beansonfire.de,False
1823,Vitomy,Bayern,Life Science & Healthcare,https://vitomy.de/,False
1824,GLE Taunus Business,Hessen,,https://www.carvertising.de,True
1825,Odernichtoderdoch,Nordrhein-Westfalen,,https://www.odernichtoderdoch.de,True
1826,Traumwunder,Nordrhein-Westfalen,Nutrition & Consumables,http://www.traumwunder.de,False
1827,Buycycle,Bayern,"Automotive, Logistics & Mobility",https://www.buycycle.de/,False
1828,LIME medical,Rheinland-Pfalz,Life Science & Healthcare,http://lime-medical.de/,True
1829,steadybit,Nordrhein-Westfalen,IT and Communications,https://www.chaosmesh.com/,False
1830,QUITT,Nordrhein-Westfalen,IT and Communications,http://www.quitt.ai/?lang=de,False
1831,Crrowd,Berlin,Sports & Amusement/Gaming incl. Online,https://crrowd.io,True
1832,Ghostthinker,Bayern,Education,https://ghostthinker.de/,True
1833,atled,Sachsen,IT and Communications,https://atled-software.com/,True
1834,Virtual Agile Training,Baden-Württemberg,Education,https://virtualagiletraining.org/,True
1835,LiveChat Service,Berlin,IT and Communications,https://livechatservice.de/,True
1836,Luminovo,Bayern,IT and Communications,http://www.luminovo.ai,True
1837,PM Personal Mail,Nordrhein-Westfalen,IT and Communications,http://www.personal-mail.org,True
1838,SINN Power,Bayern,Energy & Electricity,http://www.sinnpower.com,True
1839,Humedics,Berlin,Life Science & Healthcare,https://www.humedics.eu/de/#,True
1840,memanto,Niedersachsen,Other,https://www.memanto.com/,False
1841,Userlike,Nordrhein-Westfalen,IT and Communications,https://www.userlike.com/en/,True
1842,Fanmiles,Rheinland-Pfalz,IT and Communications,https://fanmiles.com/,False
1843,ALCAN Systems,Hessen,IT and Communications,http://alcansystems.com,True
1844,Climo,Baden-Württemberg,Finance & Insurance,http://climo.app/,False
1845,balloonas,Baden-Württemberg,"Media, Arts & Entertainment",http://www.balloonas.com,True
1846,Acatus,Baden-Württemberg,Finance & Insurance,http://www.acatus.com,True
1847,fitnessmarkt.de,Bayern,Life Science & Healthcare,https://www.fitnessmarkt.de/,True
1848,Immunservice,Hamburg,Life Science & Healthcare,https://immunservice.com/,True
1849,cirqus,Bayern,Education,https://cirqus.de/,False
1850,Apoly,Sachsen,Chemicals/Pharmaceuticals,https://apotheken.apoly.de/,True
1851,nyris,Berlin,IT and Communications,https://nyris.io/,False
1852,klaep,Baden-Württemberg,"Media, Arts & Entertainment",https://www.klaep.com,True
1853,AVERIO Connect,Hamburg,IT and Communications,https://www.averiocloud.com/,False
1854,Knister,Bayern,Sports & Amusement/Gaming incl. Online,http://knister-grill.com,True
1855,CrypViser,Nordrhein-Westfalen,IT and Communications,http://crypviser.network/,True
1856,aklamio,Berlin,IT and Communications,http://www.aklamio.com,True
1857,LIQID,Berlin,Finance & Insurance,https://www.liqid.de,True
1858,LocalPetition,Nordrhein-Westfalen,Finance & Insurance,https://lokalpetition.de/,False
1859,hs-tumbler,Niedersachsen,Industrial & Basic Materials,http://hs-tumbler.com/,False
1860,affimed,Baden-Württemberg,,https://www.affimed.com/,True
1861,getML,Sachsen,IT and Communications,https://getml.com/,True
1862,awamo,Hessen,Finance & Insurance,https://awamo.com,True
1863,Kaufregal,Baden-Württemberg,Other,http://www.kaufregal.de,False
1864,UGISense,Nordrhein-Westfalen,Life Science & Healthcare,http://ugisense.com/,True
1865,osteolabs,Schleswig-Holstein,Chemicals/Pharmaceuticals,https://www.osteolabs.de/startseite.html,False
1866,Boerse Stuttgart,Baden-Württemberg,Finance & Insurance,https://www.boerse-stuttgart.de/,True
1867,APOAPP,Berlin,Life Science & Healthcare,https://www.apoapp.com/,False
1868,MindPeak,Hamburg,Life Science & Healthcare,http://www.mindpeak.ai,False
1869,Cartmates,Berlin,Nutrition & Consumables,https://cartmates.net/,False
1870,Sensika Technologies,Berlin,,https://www.sensika.com,True
1871,VRTX Labs,Niedersachsen,IT and Communications,http://vrtxlabs.com/,True
1872,FINLEX,Hessen,Finance & Insurance,http://finlex.de/,True
1873,&ever,Bayern,Nutrition & Consumables,https://www.and-ever.com/,False
1874,Geschmackspiloten,Nordrhein-Westfalen,Nutrition & Consumables,https://www.geschmackspiloten.de/,True
1875,IDEE,Bayern,IT and Communications,http://Www.getidee.de,False
1876,Hurrado,Nordrhein-Westfalen,Consulting,https://www.hurrado.com/,True
1877,OMM Solutions,Baden-Württemberg,IT and Communications,http://www.omm-solutions.de,True
1878,SessionLinkPRO,Nordrhein-Westfalen,IT and Communications,https://www.sessionlinkpro.com/,True
1879,4GENE,Bayern,Other,http://4gene.de/,True
1880,evalu,Bayern,Sports & Amusement/Gaming incl. Online,https://www.evalu.com/,True
1881,Trusted References,Nordrhein-Westfalen,IT and Communications,http://www.trustedreferences.de,True
1882,Paradigm Change,Hessen,IT and Communications,https://paradigm-change.de/,True
1883,ValSight,Berlin,Finance & Insurance,http://www.valsight.com,True
1884,Crowdinvest,Berlin,Finance & Insurance,https://www.crowdinvest.de/,True
1885,metaphacts,Baden-Württemberg,IT and Communications,https://metaphacts.com/,True
1886,myDate,Baden-Württemberg,Nutrition & Consumables,http://www.mydatedrink.de,False
1887,Best Brokers,Bayern,Finance & Insurance,https://www.bestbrokers.de/,False
