name,state,linkedin_industry,website_url
itravel,Nordrhein-Westfalen,Tourism,https://www.itravel.de/
ZOONO GERMANY,Nordrhein-Westfalen,Life Science & Healthcare,https://www.zoonodeutschland.com/
kunveno,,IT and Communications,https://kunveno.de
t2k: Text to Knowledge,Sachsen,IT and Communications,https://text2knowledge.de
Scopas,Berlin,IT and Communications,https://www.scopas.io/
studymaniac,Nordrhein-Westfalen,Education,https://studymaniac.de
Yaak Technologies,Berlin,Education,http://yaak.ai/
Entyre,Hamburg,Life Science & Healthcare,https://www.entyre.de/
NUMAFERM,Nordrhein-Westfalen,Chemicals/Pharmaceuticals,http://numaferm.com/
Aicone,Hamburg,Energy & Electricity,http://www.ai-c.one
Givetastic.org,Niedersachsen,Other,http://www.givetastic.org
MagnoTherm,Hessen,Industrial & Basic Materials,http://magnotherm-solutions.com/
BOSETEIN,Baden-Württemberg,Life Science & Healthcare,http://www.bosetein.com
Steeped App,Baden-Württemberg,Nutrition & Consumables,https://steeped.app/
Statista,Hamburg,Consulting,https://de.statista.com/
Knuper,Berlin,IT and Communications,https://www.knuper.com/
Meisterwerk App,Berlin,IT and Communications,http://meisterwerk.app/
2hearts Community,Berlin,IT and Communications,http://2heartscommunity.com/
DEMECAN,Berlin,Chemicals/Pharmaceuticals,https://www.demecan.de/en/startseite-english/
TeraSpinTec,Berlin,Other,https://teraspintec.com/
kuendigung.org,Baden-Württemberg,Consulting,http://kuendigung.org/
Smartivate,Baden-Württemberg,Consulting,https://smartivate.de/
Cloud Ready Software,Hamburg,IT and Communications,https://cloud-ready-software.com/
META Games,Berlin,Sports & Amusement/Gaming incl. Online,http://www.metagames.gg
EOS Germany,Nordrhein-Westfalen,,https://eosgermany.one/
HQS Quantum Simulations,Baden-Württemberg,IT and Communications,https://quantumsimulations.de/
VSM BW,Baden-Württemberg,,https://www.verstaumich.de/
SciFlow,Berlin,Education,https://www.sciflow.net
JoS QUANTUM,Hessen,IT and Communications,http://jos-quantum.de/
EngageLabs,Berlin,"Automotive, Logistics & Mobility",http://getcrove.com
CUREosity,Nordrhein-Westfalen,Life Science & Healthcare,http://www.cureosity.de
UnitedCrowd,Nordrhein-Westfalen,Finance & Insurance,http://www.unitedcrowd.com
HydroPlants,Nordrhein-Westfalen,Agriculture & Forestry,http://hydroplants.de/
BidX,Hessen,IT and Communications,https://www.bidx-tool.com/
Aspuraclip,Brandenburg,Life Science & Healthcare,https://aspuraclip.com/
SRT,Saarland,IT and Communications,http://backes-srt.com/
LuxFlux,Baden-Württemberg,IT and Communications,http://www.luxflux.de
S&S Digital,Nordrhein-Westfalen,IT and Communications,http://www.storyandstory.de
Deine-Rückabwicklung.de,Niedersachsen,Finance & Insurance,https://deine-rueckabwicklung.de/
micropsi industries,Berlin,Industrial & Basic Materials,http://www.micropsi-industries.com/
Miku,Bayern,Life Science & Healthcare,https://www.miku-app.com/home
PI Health Solutions,Berlin,Life Science & Healthcare,http://www.pihealthsolutions.com/
Unternehmer.app,Nordrhein-Westfalen,IT and Communications,https://www.unternehmer.app/
bcrypto,Baden-Württemberg,,https://www.bcrypto.de
Medi-Match,Baden-Württemberg,Education,https://www.medi-match.de/
Aivar Technologies,Berlin,Sports & Amusement/Gaming incl. Online,http://aivar.io/
edamama,Berlin,Nutrition & Consumables,https://edamama.de/
Spotter,Berlin,IT and Communications,https://www.spotterlabs.com
Craftboxx,Schleswig-Holstein,Construction/Real Estate,https://www.craftboxx.de/
apaleo,Bayern,IT and Communications,https://www.apaleo.com
Flink,Berlin,Nutrition & Consumables,http://goflink.com/
Reportix,Baden-Württemberg,IT and Communications,https://www.reportix.com/
PelopsCar,Baden-Württemberg,"Automotive, Logistics & Mobility",http://www.pelopscar.de
Atalanda,Bayern,IT and Communications,https://atalanda.com/
TORR Building Systems,Baden-Württemberg,Construction/Real Estate,https://www.bs-tibi.com/
mikan,Baden-Württemberg,Nutrition & Consumables,http://www.mikan-app.de
