,name,state,linkedin_industry,website_url,check_robots
3501,DeepEyes,Bayern,Industrial & Basic Materials,http://deepeyes.co/,True
3502,Instafreight,Berlin,"Automotive, Logistics & Mobility",https://www.instafreight.de:443/,False
3503,smartUP,Baden-Württemberg,Construction/Real Estate,http://www.smartup-immobilien.de,True
3504,getnow,Bayern,Nutrition & Consumables,https://www.getnow.com/,False
3505,BeeSonix,Berlin,IT and Communications,http://beesonix.de/,False
3506,SurgMark,Hamburg,Life Science & Healthcare,http://www.surgmark.com,True
3507,rivr,Berlin,IT and Communications,https://rivr.ai,True
3508,Soundnotation,Hamburg,"Media, Arts & Entertainment",https://www.soundnotation.com,True
3509,Zero Bullshit Company,Baden-Württemberg,Nutrition & Consumables,http://www.zero-bullshit.de,False
3510,Fixario,Hessen,Construction/Real Estate,https://www.fixario.de,True
3511,wix,Berlin,IT and Communications,https://de.wix.com/?utm_campaign=vir_error_page,True
3512,Caught,Baden-Württemberg,"Media, Arts & Entertainment",http://caught.nu/,False
3513,zvarm.com,Brandenburg,IT and Communications,https://www.zvarm.com/,True
3514,Climatiq,Berlin,IT and Communications,https://climatiq.io/,False
3515,Tibeo,Bayern,Sports & Amusement/Gaming incl. Online,https://www.tibeo.de,True
3516,Beemgee,Berlin,"Media, Arts & Entertainment",http://www.beemgee.com,True
3517,RoccSolution,Bayern,,https://www.roccsolution.com,False
3518,Wechselgott,Sachsen,Finance & Insurance,https://wechselgott.com/,True
3519,etvas,Hamburg,IT and Communications,http://etvas.com/,False
3520,Ebee Smart Technologies,Berlin,"Automotive, Logistics & Mobility",https://ebee.berlin/,False
3521,Creacando,Niedersachsen,"Media, Arts & Entertainment",https://creacando.de/,True
3522,AniMatch,Berlin,Agriculture & Forestry,https://www.animatch.eu/,True
3523,Oskar.de,Baden-Württemberg,,https://www.oskar.de/,True
3524,Legalhero,Berlin,Consulting,https://legalhero.de,True
3525,C-Lecta,Sachsen,Chemicals/Pharmaceuticals,https://www.c-lecta.com/,True
3526,Maschinen für Holz,Baden-Württemberg,Construction/Real Estate,https://www.maschinen-fuer-holz.de/,True
3527,statpile,Baden-Württemberg,IT and Communications,https://statpile.de/,True
3528,e.less,Bayern,Energy & Electricity,https://www.eless.de/,True
3529,Traderama,Nordrhein-Westfalen,Finance & Insurance,https://www.traderama.com/,False
3530,viomedo,Berlin,Life Science & Healthcare,https://www.viomedo.de/,False
3531,recognified,Bayern,IT and Communications,http://recognified.com/,False
3532,OPT - Online Physiotherapie,Baden-Württemberg,Life Science & Healthcare,https://www.online-physiotherapie.de/,True
3533,Perun,Hessen,IT and Communications,http://perun.network/,True
3534,Purenum,Bremen,Chemicals/Pharmaceuticals,https://purenum.com/home.html,False
3535,Dynamic Biosensors,Bayern,Life Science & Healthcare,https://www.dynamic-biosensors.com/,True
3536,ArtMano,Nordrhein-Westfalen,"Media, Arts & Entertainment",http://www.artmano.de,True
3537,CreativeQuantum,Berlin,Chemicals/Pharmaceuticals,http://creative-quantum.eu,True
3538,erento,Berlin,IT and Communications,https://www.erento.com/,True
3539,Commerce Connector,Baden-Württemberg,IT and Communications,https://www.commerce-connector.com/,True
3540,KADUDA,Niedersachsen,,https://www.kaduda.de,True
3541,Axel Springer hy Technologies,Berlin,IT and Communications,http://ecosystem-manager.co,True
3542,MANAGEMENT TO THE GREEN,Nordrhein-Westfalen,Chemicals/Pharmaceuticals,https://mttg.de/,False
3543,timeBro,Bayern,Human Resources,https://timebro.de/,True
3544,WebAtlas GbR,Baden-Württemberg,IT and Communications,http://webatlas-gbr.de,False
3545,YOOCHOOSE,Nordrhein-Westfalen,IT and Communications,https://www.yoochoose.com/,True
3546,cordition,Bayern,Life Science & Healthcare,https://www.cordition.com/,True
3547,revive leadership coaching,Baden-Württemberg,Consulting,http://www.revivecoaching.de,False
3548,transaction factory,Hessen,Finance & Insurance,http://www.transactionfactory.de,False
3549,HomeToGo,Berlin,Tourism,http://hometogo.de/,True
3550,HeavenHR,Berlin,Human Resources,https://www.heavenhr.com/,True
3551,Virtual Retail,Nordrhein-Westfalen,Textiles,http://www.virtual-retail.com,True
3552,Promipool,Bayern,Sports & Amusement/Gaming incl. Online,https://www.promipool.de/,True
3553,REPARATURMACHER – Das Vergleichsportal für Reparaturen,Bayern,"Automotive, Logistics & Mobility",https://reparaturmacher.de/,True
3554,ABRIO,Hessen,Consulting,https://abrio.de/,False
3555,Virtonomy,Bayern,Life Science & Healthcare,http://virtonomy.io/,True
3556,Oceansapart,Berlin,Textiles,https://www.oceansapart.com/de/,False
3557,Makler Mentoring,Bayern,Finance & Insurance,https://www.maklermentoring.de/,False
3558,roestbar,Nordrhein-Westfalen,Nutrition & Consumables,http://www.roestbar.com,True
3559,High-Mobility,Berlin,"Automotive, Logistics & Mobility",http://www.high-mobility.com,False
3560,exocad,Hessen,Life Science & Healthcare,http://exocad.com/,True
3561,doinstruct,Niedersachsen,Agriculture & Forestry,https://www.doinstruct.com/,False
3562,RGC Manager,Niedersachsen,Consulting,http://rgc-manager.de/,False
3563,Brainscent,Bayern,Life Science & Healthcare,https://brainscent.de/,True
3564,Urban Art Club,Berlin,"Media, Arts & Entertainment",https://urbanartclub.com/,False
3565,Studenten2go,Baden-Württemberg,Other,http://www.studenten2go.de,True
3566,onetask.ai,Brandenburg,IT and Communications,https://www.onetask.ai/,False
3567,Novihum Technologies,Nordrhein-Westfalen,Agriculture & Forestry,https://novihum.com/,True
3568,Quadratologo,Nordrhein-Westfalen,"Media, Arts & Entertainment",http://www.quadratologo.de,True
3569,Kontist,Berlin,Finance & Insurance,https://kontist.com/,True
3570,weekend.com,Nordrhein-Westfalen,Tourism,https://www.weekend.com,False
3571,audibene,Berlin,Life Science & Healthcare,http://www.audibene.de,True
3572,Buynomics,Nordrhein-Westfalen,IT and Communications,https://www.buynomics.com/,True
3573,YORXS,Bayern,Other,https://www.yorxs.de/,True
3574,CBD-DEAL24,Baden-Württemberg,Nutrition & Consumables,https://cbd-deal24.de,True
3575,b-42,Bayern,Sports & Amusement/Gaming incl. Online,https://www.b-42.com/,True
3576,FinTecSystems,Bayern,Finance & Insurance,http://www.accourate.io,False
3577,meintierbestatter.de,Hessen,IT and Communications,https://meintierbestatter.de/,True
3578,Rententipps.de,Hamburg,Finance & Insurance,https://www.rententipps.de,True
3579,tele-LOOK,Baden-Württemberg,Industrial & Basic Materials,https://www.tele-look.com/,True
3580,NUI COSMETICS,Berlin,Nutrition & Consumables,https://nuicosmetics.com/,True
3581,Instruments of Things,Schleswig-Holstein,"Media, Arts & Entertainment",https://instrumentsofthings.com/,True
3582,Mambu,Berlin,Finance & Insurance,https://www.mambu.com/,True
3583,Applyo Jena,Thüringen,Chemicals/Pharmaceuticals,https://www.applyo-jena.com/de.html,True
3584,y42,Berlin,IT and Communications,https://www.y42.com/,True
3585,Betriebsmittelhelden,Nordrhein-Westfalen,Agriculture & Forestry,https://www.betriebsmittelhelden.de/,True
3586,Kinderheldin,Berlin,Life Science & Healthcare,https://kinderheldin.de/,True
3587,kartenmacherei,Bayern,"Media, Arts & Entertainment",https://www.kartenmacherei.de/,True
3588,Innok Robotics,Bayern,"Automotive, Logistics & Mobility",http://innok-robotics.de/,True
3589,Deutsche Autohaus,Nordrhein-Westfalen,,https://www.deutscheautohausag.de,True
3590,ARTFLAKES,Sachsen,"Media, Arts & Entertainment",https://www.artflakes.com/,True
3591,Intine,Bayern,,https://www.intine.de,False
3592,SenseING GmbH,Baden-Württemberg,IT and Communications,https://www.senseing.de,True
3593,Troodle Mobility Solution,Baden-Württemberg,"Automotive, Logistics & Mobility",http://www.troodle.me,True
3594,MeinPraktikum,Nordrhein-Westfalen,IT and Communications,https://www.meinpraktikum.de/,True
3595,etherisc,Bayern,Finance & Insurance,https://etherisc.com/,False
3596,3dTrust,Bayern,IT and Communications,http://3dtrust.de,True
3597,German Bionic,Bayern,Life Science & Healthcare,https://www.germanbionic.com/,True
3598,CryptoAlerts,Bayern,Finance & Insurance,http://cryptoalerts.ai,False
3599,Dracoon,Bayern,IT and Communications,https://www.dracoon.com/de/home,True
3600,vacaVista,Berlin,Tourism,https://www.vacavista.com/,True
3601,SIMUTENCE,Baden-Württemberg,"Automotive, Logistics & Mobility",http://www.simutence.de,True
3602,Caterna,Brandenburg,Life Science & Healthcare,https://www.caterna.de,True
3603,r3charge,Berlin,"Automotive, Logistics & Mobility",https://www.r3charge.com/,True
3604,Polyteia,Berlin,IT and Communications,http://www.polyteia.de,True
3605,asurfriends,Bayern,Finance & Insurance,http://www.asurfriends.com,True
3606,NewStore,Berlin,IT and Communications,https://www.newstore.com/,True
3607,smashleads™,Nordrhein-Westfalen,IT and Communications,http://www.smashleads.de,False
3608,Estate Labs,Niedersachsen,Construction/Real Estate,https://estate-labs.com/,False
3609,Fabula Games,Nordrhein-Westfalen,Education,http://www.fabula-games.de,True
3610,catkin,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",http://www.catkin.eu,True
3611,AppYourself,Berlin,IT and Communications,https://appyourself.net/,True
3612,SCATCH,Baden-Württemberg,Nutrition & Consumables,https://scatch.io,True
3613,Bloomwell,Hessen,Chemicals/Pharmaceuticals,http://bloomwell.eu/,True
3614,Topguide24,Berlin,Tourism,http://www.iguiding.net/index.html,False
3615,Easy2Parts,Bayern,Industrial & Basic Materials,http://www.easy2parts.com,True
3616,alephsearch.com,Berlin,Textiles,https://www.alephsearch.com,False
3617,KidsWoodLove,Bayern,Nutrition & Consumables,https://www.kidswoodlove.de/,True
3618,Adsata,Sachsen-Anhalt,IT and Communications,https://adsata.com,False
3619,Talent Tree,Bayern,Human Resources,https://talent-tree.de/impressum/,False
3620,KELLNEROO,Bayern,,https://www.kellneroo.app,True
3621,Therapio,Berlin,Life Science & Healthcare,http://www.therap.io,True
3622,FLAXRES,Sachsen,Energy & Electricity,https://www.flaxres.com/,True
3623,Swaarm,Berlin,IT and Communications,http://swaarm.com/,True
3624,Icinga,Bayern,IT and Communications,https://icinga.com/,True
3625,Monet Financial Technologies,Bayern,Finance & Insurance,http://monetcard.com/,False
3626,Tier Mobility,Berlin,"Automotive, Logistics & Mobility",http://www.tier.app/de,True
3627,Furryfit,Nordrhein-Westfalen,Life Science & Healthcare,https://furryfit.de/,True
3628,ReUse and Trade,Nordrhein-Westfalen,Industrial & Basic Materials,https://www.reuseandtrade.de,False
3629,beeBlum,Baden-Württemberg,IT and Communications,https://beeblum.com,False
3630,Mergeflow,Bayern,IT and Communications,https://www.mergeflow.com/,True
3631,Pendix,Sachsen,Sports & Amusement/Gaming incl. Online,http://www.pendix.de/,True
3632,BABO,Bayern,Nutrition & Consumables,https://baboblue.com/,False
3633,SurveyCircle,Baden-Württemberg,Education,https://www.surveycircle.com,True
3634,MyHomely,Bayern,Finance & Insurance,http://myhomely.de/,False
3635,Casble // Dojo Technologies,Hessen,Education,https://casble.com,True
3636,ENVISIBLE,Sachsen,,https://www.envisible.de,True
3637,Personio Operations,Bayern,,https://www.personio.de,True
3638,CGift,Hamburg,Finance & Insurance,https://cgift.io/,False
3639,GrillSon,Rheinland-Pfalz,Energy & Electricity,http://www.grillson.com,False
3640,Saloodo,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://www.saloodo.com,True
3641,MyCabin,Baden-Württemberg,Tourism,https://mycabin.eu/,True
3642,Cognotekt,Nordrhein-Westfalen,IT and Communications,http://cognotekt.com/,True
3643,Telantes,Baden-Württemberg,Human Resources,https://www.telantes.de,False
3644,Twyla,Hessen,IT and Communications,https://www.twyla.ai/,False
3645,birdpilot,Bayern,Sports & Amusement/Gaming incl. Online,http://www.birdpilot.com/en/home,False
3646,Greentastic,Bayern,Nutrition & Consumables,https://www.greentastic.de/,True
3647,Mimetik,Sachsen,Industrial & Basic Materials,https://www.mimetik.de/,False
3648,VisualVest,Hessen,Finance & Insurance,http://visualvest.de/,False
3649,3MEGAWATT,Bayern,Energy & Electricity,http://www.3megawatt.com,True
3650,Geruchskontrolle,Baden-Württemberg,,https://www.geruchskontrolle.de/,True
3651,SEMPRIA,Nordrhein-Westfalen,IT and Communications,https://sempria.de,True
3652,Kisura CS,Nordrhein-Westfalen,Textiles,https://www.kisura.de/,True
3653,Explorlings,Hamburg,,http://www.explorlings.com,False
3654,WeAdvise,Bayern,Finance & Insurance,https://www.weadvise.de,True
3655,earthTV,Berlin,"Media, Arts & Entertainment",https://www.earthtv.com/en,True
3656,Seven Senders,Berlin,"Automotive, Logistics & Mobility",https://www.sevensenders.com/,True
3657,LadyBWell - THE BREAST HEALTH PEOPLE,Nordrhein-Westfalen,Life Science & Healthcare,http://www.LadyBWell.com,True
3658,Goodlife Company,Hamburg,Nutrition & Consumables,http://goodlife-company.de/,True
3659,Edkimo,Berlin,Education,https://edkimo.com/,True
3660,Kolonne Null,Berlin,Nutrition & Consumables,http://www.kolonnenull.com,True
3661,go2cloud,Niedersachsen,IT and Communications,https://www.go2cloud-hpc.de/,False
3662,VetStage,Baden-Württemberg,Human Resources,https://www.vetstage.de/,True
3663,Secondsol,Thüringen,Energy & Electricity,https://secondsol.com,False
3664,Minerics,Baden-Württemberg,IT and Communications,https://minerics.de/,False
3665,Baobab Insurance,Berlin,Security,http://baobab.io/,False
3666,Pupil Labs,Berlin,Sports & Amusement/Gaming incl. Online,https://pupil-labs.com/,True
3667,Finanzguru,Hessen,Finance & Insurance,https://finanzguru.de/,False
3668,voodage.de,Baden-Württemberg,"Media, Arts & Entertainment",https://www.voodage.de,False
3669,fox e-mobility,Bayern,"Automotive, Logistics & Mobility",http://fox-em.com/,True
3670,Polsterando,Baden-Württemberg,Other,https://www.polsterando.de,True
3671,Tower360,Hamburg,Construction/Real Estate,http://www.tower360.co,False
3672,mealmates,Nordrhein-Westfalen,Nutrition & Consumables,https://www.mealmates.de/,True
3673,ATC ALUVATION,Nordrhein-Westfalen,Construction/Real Estate,https://aluvation.com/,True
3674,Aufzughelden,Berlin,IT and Communications,http://aufzughelden.com/,True
3675,Tickaroo,Bayern,"Media, Arts & Entertainment",http://www.tickaroo.com,True
3676,sedeo,Nordrhein-Westfalen,IT and Communications,http://www.sedeo.net,False
3677,FLUTLICHT,Nordrhein-Westfalen,"Media, Arts & Entertainment",http://www.flutlicht-film.de,True
3678,Alasco,Bayern,Construction/Real Estate,https://www.alasco.de/,True
3679,blackshield.security,Hessen,,https://www.blackshield-security.de,True
3680,Doxfox,Bayern,Finance & Insurance,http://www.doxfox.de/,False
3681,KlickOwn Immobilien,Berlin,Finance & Insurance,http://klickown.com/,False
3682,Aporize,Hamburg,Life Science & Healthcare,https://aporize.com/,True
3683,METHODIGY,Baden-Württemberg,Other,https://www.methodigy.de/,True
3684,Horizn Studios,Berlin,Nutrition & Consumables,http://horizn-studios.com,True
3685,repeatmobile,Berlin,Human Resources,https://www.repeatmobile.com/en/,True
3686,ESGendium,Hessen,IT and Communications,https://www.esgendium.com/,True
3687,Echometer,Nordrhein-Westfalen,Human Resources,http://echometerapp.com/,True
3688,BANKSapi,Bayern,Finance & Insurance,https://banksapi.de/,True
3689,eevie,Nordrhein-Westfalen,Life Science & Healthcare,http://eevie.io/,False
3690,machen&helden,Nordrhein-Westfalen,,https://www.machenundhelden.de,False
3691,Digital Buildings,Hessen,Construction/Real Estate,http://www.enbead.com,True
3692,Skimio,Bayern,Education,https://skimio.com/en,False
3693,Elucidate,Berlin,Finance & Insurance,http://www.elucidate.co,True
3694,CALIMA Safety,Berlin,Life Science & Healthcare,https://www.calima.io/,True
3695,Drakensberg,Rheinland-Pfalz,Textiles,https://www.drakensberg.de/,True
3696,DL Remote,Nordrhein-Westfalen,Human Resources,https://www.dl-remote.com/,True
3697,Rysta,Berlin,Construction/Real Estate,http://www.rysta.io,True
3698,Xentara (by embedded ocean),Bayern,IT and Communications,https://www.xentara.io/,True
3699,innFactory,Bayern,IT and Communications,https://innFactory.de,True
3700,Hydrogentle,Hamburg,"Water, Waste Treatment & Recycling",http://www.hydrogentle.de/,True
3701,kitanauten,Berlin,Education,https://kitanauten.de/,False
3702,PimaAssist,Nordrhein-Westfalen,Life Science & Healthcare,https://pimaassist.de/,True
3703,Topi,Berlin,Finance & Insurance,http://topi.eu/,True
3704,CareNext,Bayern,Life Science & Healthcare,https://carenext.net/,True
3705,Kadmos,Berlin,Finance & Insurance,http://kadmos.io/,False
3706,cloudficient Solutions,Hessen,,https://www.cloudficient.com,True
3707,DigitalSchoolStory,Hessen,Education,https://digitalschoolstory.de/,True
3708,AddTec - Additive Technologies,Niedersachsen,Industrial & Basic Materials,https://www.addtec.eu/,True
3709,ZP Zuhause Plattform,Berlin,IT and Communications,https://zuhause-plattform.de/,False
3710,Lophius Biosciences,Bayern,Life Science & Healthcare,https://www.lophius.com/lophius.html,False
3711,Atlas medical Technologies,Nordrhein-Westfalen,Life Science & Healthcare,https://www.amedo.com/index.php/en/,False
3712,JoinMyTrip,Hamburg,Tourism,https://www.joinmytrip.de,True
3713,McMakler,Berlin,Construction/Real Estate,https://mcmakler.de/,True
3714,BeFriendsOnline,Berlin,,https://www.befriendsonline.net,False
3715,Luxshield,Baden-Württemberg,"Automotive, Logistics & Mobility",https://luxshield.de,True
3716,Motius,Bayern,Other,http://motius.de,True
3717,easyraw,Hessen,Nutrition & Consumables,https://www.easyraw.de/,True
3718,RiskDataScience,Bayern,Finance & Insurance,http://riskdatascience.net,False
3719,Movizon,Niedersachsen,"Automotive, Logistics & Mobility",https://www.movizon.de/,True
3720,fair-bummeln,Nordrhein-Westfalen,"Media, Arts & Entertainment",https://fair-bummeln.de/,False
3721,Ingpuls,Nordrhein-Westfalen,Life Science & Healthcare,http://www.ingpuls.de,True
3722,HarvPipe,Nordrhein-Westfalen,Life Science & Healthcare,https://harvpipe.de/,False
3723,rhetorican,Baden-Württemberg,Education,https://www.rhetorican.de,True
3724,BioCV,Nordrhein-Westfalen,Agriculture & Forestry,http://biocv.de/,True
3725,GreenPocket,Nordrhein-Westfalen,Energy & Electricity,https://www.greenpocket.com/,True
3726,Billwall,Bayern,Finance & Insurance,http://billwall.de/,False
3727,Jobino,Berlin,Human Resources,http://www.jobino.de/nebenjob/job,True
3728,payever,Hamburg,IT and Communications,https://payever.de/,True
3729,MR Shim,Baden-Württemberg,Life Science & Healthcare,http://www.mrshim.de,True
3730,Greenlight Software,Nordrhein-Westfalen,IT and Communications,http://www.greenlight-software.de,True
3731,BEAD®,Nordrhein-Westfalen,IT and Communications,http://aachenvalley.de/,False
3732,Ares Tech,Berlin,Sports & Amusement/Gaming incl. Online,http://arestech.io,False
3733,Habanunu,Nordrhein-Westfalen,Education,http://www.habanunu.de,True
3734,smicro,Rheinland-Pfalz,Education,https://www.smicro.de/,True
3735,Tomorrow,Hamburg,Finance & Insurance,https://www.tomorrow.one/,False
3736,RightNow,Nordrhein-Westfalen,Consulting,https://rightnow.de/,True
3737,sentin,Nordrhein-Westfalen,IT and Communications,http://sentin.ai/,True
3738,Antegon,Nordrhein-Westfalen,,https://www.foodtracks.de,True
3739,Remipay,Hamburg,Finance & Insurance,https://www.remipay.com/,True
3740,OKAPI:Orbits,Niedersachsen,Other,http://www.okapiorbits.space,True
3741,ONLOGIST,Hamburg,"Automotive, Logistics & Mobility",https://www.onlogist.com/,True
3742,neolexon,Bayern,Life Science & Healthcare,https://neolexon.de,True
3743,MILEPAY,Hessen,Finance & Insurance,http://milepay.com/,True
3744,neopolis,Brandenburg,IT and Communications,https://neopol.is/,False
3745,Day4Solutions,Baden-Württemberg,IT and Communications,https://day4solutions.de/,True
3746,GWA Hygiene,Mecklenburg-Vorpommern,Life Science & Healthcare,https://gwa-hygiene.de,True
3747,trvladdicted,Nordrhein-Westfalen,Textiles,https://www.trvladdicted.com,True
3748,YUKKA LAB,Berlin,IT and Communications,https://www.yukkalab.com,True
3749,Cauliflower,Hamburg,IT and Communications,https://cauliflower.ai/,True
3750,heyOrder,Niedersachsen,Nutrition & Consumables,https://www.heyorder.com/,True
3751,8returns,Berlin,IT and Communications,https://www.8returns.com/,True
3752,LitClip,Rheinland-Pfalz,Sports & Amusement/Gaming incl. Online,https://www.litclip.tv/,False
3753,Edukatico,Bayern,Education,https://www.edukatico.org/de,True
3754,shiftee,Bayern,Energy & Electricity,https://www.shiftee.eu/,True
3755,Black One Entertainment Group,Berlin,"Media, Arts & Entertainment",https://blackone-entertainment.com/,False
3756,Pamono,Berlin,Other,https://www.pamono.com/,True
3757,orderspot,Nordrhein-Westfalen,Industrial & Basic Materials,https://orderspot.de/,True
3758,Sunfire,Sachsen,Energy & Electricity,http://new-enerday.com/,False
3759,Tacto Technology,Bayern,IT and Communications,http://tacto.ai/,True
3760,missionMED,Bayern,Life Science & Healthcare,https://missionmed.com/,False
3761,videantis,Niedersachsen,IT and Communications,https://www.videantis.com/,True
3762,squarrel,Bayern,IT and Communications,http://www.storageheroes.de/#!,True
3763,Refur Rad,Nordrhein-Westfalen,"Automotive, Logistics & Mobility",https://refurrad.de/,True
3764,rubarb,Hamburg,Finance & Insurance,https://rubarb.app/,False
3765,Neualp,Sachsen,,https://www.neualp.com,True
3766,PAYONE,Hessen,Finance & Insurance,http://payone.com/,True
3767,cofenster,Hamburg,IT and Communications,https://www.cofenster.com/,False
3768,JobsNavi,Sachsen,Human Resources,https://jobsnavi.de,True
3769,FeMentor,Berlin,Other,http://www.FeMentor.de,False
3770,bookitgreen,Baden-Württemberg,Tourism,http://bookitgreen.com,True
3771,clevabit,Nordrhein-Westfalen,Agriculture & Forestry,https://www.clevabit.com/,False
3772,ROQ Cosmetics,Nordrhein-Westfalen,Nutrition & Consumables,https://roq-cosmetics.de/,True
3773,Rodos BioTarget,Niedersachsen,Life Science & Healthcare,http://biotargeting.eu/,False
3774,SoccerBot360,Sachsen,Sports & Amusement/Gaming incl. Online,https://www.soccerbot360.de/,True
3775,Bitfactory,Baden-Württemberg,IT and Communications,https://www.bitfactory.io/de/,False
3776,fileee,Nordrhein-Westfalen,IT and Communications,http://www.fileee.com,False
3777,Curvesys,Bayern,"Automotive, Logistics & Mobility",https://curvesys.de/,True
3778,GJIN,Bayern,,https://www.gjin.de,True
3779,Wolowo,Berlin,IT and Communications,http://www.wolowo.de,False
3780,ooohne,Nordrhein-Westfalen,Chemicals/Pharmaceuticals,https://ooohne.de/,True
3781,nello,Bayern,Security,http://nello.io,False
3782,refund.me,Brandenburg,Tourism,https://www.refund.me/,True
3783,COPETRI,Hessen,IT and Communications,https://www.copetri.com/,True
3784,Medbox,Niedersachsen,Life Science & Healthcare,https://www.medbox.biz/,False
3785,PEATS,Hamburg,Human Resources,https://peats.de/,False
3786,WHOW,Hamburg,Sports & Amusement/Gaming incl. Online,https://www.whow.net/en,True
3787,Nieds,Berlin,IT and Communications,https://www.nieds.de/,True
3788,Adaptivators,Baden-Württemberg,Consulting,http://www.adaptivators.com,False
